Term,Artist,Song,Album,Release Date
medium_term,Nickelback,"Animals - Live at Gwinnett Center Arena, Atlanta, GA, 3/17/2006",All the Right Reasons (Special Edition),2005-09-26
medium_term,Nickelback,If Today Was Your Last Day,Dark Horse,2008-10-28
medium_term,Noah Kahan,She Calls Me Back,Stick Season,2022-10-14
medium_term,Drake,Virginia Beach,For All The Dogs,2023-10-06
medium_term,Tonight Alive,Little Lion Man,"Punk Goes Pop, Vol. 4",2011-11-21
medium_term,Catfish and the Bottlemen,Tyrants,The Balcony,2014-09-15
medium_term,Paramore,Hallelujah,Riot!,2007-06-11
medium_term,Miley Cyrus,Flowers,Endless Summer Vacation,2023-08-18
medium_term,Rain City Drive,Talk to a Friend,To Better Days,2020-08-07
medium_term,The Snuts,Glasgow,W.L. (Deluxe),2021-04-02
medium_term,Catfish and the Bottlemen,Business,The Balcony,2014-09-15
medium_term,Point North,Safe And Sound,Prepare For Despair,2023-08-18
medium_term,Young the Giant,Silvertongue,Home of the Strange,2016-08-12
medium_term,Cage The Elephant,Trouble,Tell Me I'm Pretty,2015-12-18
medium_term,The Academic,Fake ID,Tales from the Backseat,2018-01-12
medium_term,Nickelback,Savin' Me,All the Right Reasons (Special Edition),2005-09-26
medium_term,Greta Van Fleet,You're The One,Anthem Of The Peaceful Army,2018-10-19
medium_term,Death Cab for Cutie,I Will Follow You into the Dark,Plans,2005-08-29
medium_term,Billie Eilish,you should see me in a crown,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",2019-03-29
medium_term,KALEO,Alter Ego,Surface Sounds,2021-04-23
medium_term,Conan Gray,Memories,Superache,2022-06-24
medium_term,Miley Cyrus,The Climb,Hannah Montana The Movie,2009-01-01
medium_term,All Time Low,Some Kind of Disaster,"Wake Up, Sunshine",2020-04-03
medium_term,Nickelback,Photograph,All the Right Reasons (Special Edition),2005-09-26
medium_term,Catfish and the Bottlemen,26,The Balcony,2014-09-15
medium_term,Gracie Abrams,The Bottom,This Is What It Feels Like,2021-11-12
medium_term,All Time Low,Sleepwalking,Tell Me I'm Alive,2023-03-17
medium_term,Vance Joy,Mess Is Mine,Dream Your Life Away (Special Edition),2014-09-09
medium_term,Dua Lipa,Houdini,Houdini,2023-11-09
medium_term,Nickelback,Far Away,All the Right Reasons (Special Edition),2005-09-26
medium_term,Bad Omens,Limits,Finding God Before God Finds Me (Deluxe),2020-01-17
medium_term,Miley Cyrus,High,Plastic Hearts,2020-11-27
medium_term,The Academic,Bear Claws,Tales from the Backseat,2018-01-12
medium_term,Hozier,Nobody,"Wasteland, Baby!",2019-03-01
medium_term,Sadie Hawkins,The Way You Break My Heart,The Way You Break My Heart,2019-06-14
medium_term,Gracie Abrams,Rockland,This Is What It Feels Like,2021-11-12
medium_term,Wallows,Scrawny,Nothing Happens,2019-03-22
medium_term,John Mayer,I Guess I Just Feel Like,Sob Rock,2021-07-16
medium_term,lovelytheband,broken,finding it hard to smile,2018-08-03
medium_term,Thirty Seconds To Mars,The Kill,A Beautiful Lie,2005-01-01
medium_term,Conan Gray,Family Line,Superache,2022-06-24
medium_term,Bazzi,Heaven,Infinite Dream,2022-09-16
medium_term,BØRNS,Holy Ghost,Dopamine,2015-10-16
medium_term,Nickelback,Rockstar,All the Right Reasons (Special Edition),2005-09-26
medium_term,Breaking Benjamin,The Diary of Jane - Single Version,Phobia (Clean Version),2006-01-01
medium_term,One Morning Left,Beat It,Beat It,2021-10-29
medium_term,Dance Gavin Dance,Son of Robot,Artificial Selection,2018-06-08
medium_term,Gracie Abrams,Block me out,Block me out,2022-04-08
medium_term,All Time Low,Something's Gotta Give,Future Hearts,2015-04-07
medium_term,Nickelback,Far Away - 2020 Remaster,All The Right Reasons (15th Anniversary Expanded Edition),2005
