Artist,Song,Album,Release Date
Otis Redding,(I Can't Get No) Satisfaction,The Very Best of Otis Redding,1992-11-06
Otis Redding,Cigarettes and Coffee,The Soul Album,1966-04-01
Stevie Wonder,For Once In My Life,For Once In My Life,1968-12-01
NF,Let You Down,Perception,2017-10-06
5 Seconds of Summer,Old Me,CALM,2020-03-27
Halsey,Alone,hopeless fountain kingdom (Deluxe),2017-06-02
Post Malone,Better Now,beerbongs & bentleys,2018-04-27
Halsey,Die 4 Me,Die 4 Me,2023-02-24
Halsey,Bad At Love,hopeless fountain kingdom (Deluxe),2017-06-02
The Kid LAROI,WITHOUT YOU,F*CK LOVE 3+: OVER YOU,2021-07-27
