Term,Artist,Genres,Popularity
medium_term,Jason Mraz,"acoustic pop, dance pop, neo mellow, pop",72
medium_term,Second Breakfast,,40
medium_term,Incomingon,,37
medium_term,Former Days,,38
medium_term,PROJECT FIXATE,,39
medium_term,ad harmony,,38
medium_term,Slipknot,"alternative metal, nu metal, rap metal, rock",78
medium_term,Reneé Rapp,"alt z, singer-songwriter pop",75
medium_term,Sadie Hawkins,,18
medium_term,Shawn Mendes,"canadian pop, pop, viral pop",82
medium_term,Bowling For Soup,"neon pop punk, pop punk, pop rock, texas pop punk",60
medium_term,boygenius,indie pop,70
medium_term,Van Halen,"album rock, classic rock, hard rock, rock",71
medium_term,Jimmy Buffett,trop rock,66
medium_term,Miguel,"r&b, urban contemporary",78
medium_term,The Chainsmokers,pop,79
medium_term,Nirvana,"grunge, permanent wave, rock",81
medium_term,Lil Nas X,lgbtq+ hip hop,76
medium_term,Mik,anime lo-fi,46
medium_term,Matt Maeson,pov: indie,62
medium_term,Cigarettes After Sex,"ambient pop, dream pop, el paso indie, shoegaze",82
medium_term,The Red Jumpsuit Apparatus,"alternative metal, neon pop punk, pop punk, post-grunge, screamo",63
medium_term,Joey Landreth,"canadian folk, manitoba indie",26
medium_term,Rush,"album rock, canadian metal, classic canadian rock, classic rock, hard rock, progressive rock, rock",65
medium_term,RAYE,"uk contemporary r&b, uk pop",78
medium_term,Daughtry,"alternative metal, neo mellow, pop rock, post-grunge",64
medium_term,The Bros. Landreth,canadian folk,33
medium_term,COIN,pov: indie,60
medium_term,Player One,,47
medium_term,I Luca,,34
medium_term,A Samurai In Tokyo,,44
medium_term,Sleeping With Sirens,"neon pop punk, pop emo, pop punk, screamo",63
medium_term,Ambio,,37
medium_term,blink-182,"alternative metal, modern rock, pop punk, punk, rock, socal pop punk",78
medium_term,Ruel,"alt z, australian alternative pop, pop",63
medium_term,Muse,"alternative rock, modern rock, permanent wave, rock",74
medium_term,The Reytons,english indie rock,54
medium_term,Dominic Fike,"alternative pop rock, pov: indie",76
medium_term,Lebouth,,30
medium_term,Måneskin,"indie rock italiano, italian pop",79
medium_term,Vance Joy,"folk-pop, modern rock",76
medium_term,Dua Lipa,"dance pop, pop, uk pop",88
medium_term,Thirty Seconds To Mars,"modern rock, post-grunge",69
medium_term,Kid Cudi,"hip hop, ohio hip hop, pop rap, rap",81
medium_term,The Script,"celtic rock, pop",73
medium_term,Haley Joelle,"alt z, gen z singer-songwriter",53
medium_term,FLETCHER,"alt z, pop",65
medium_term,The Story So Far,"alternative emo, emo, pop punk",57
medium_term,vaultboy,singer-songwriter pop,61
medium_term,Nothing But Thieves,"alternative pop rock, modern alternative rock, modern rock",69
medium_term,Matchbox Twenty,"neo mellow, pop rock, post-grunge",67
medium_term,Umbra,,31
medium_term,Glass Animals,"gauze pop, indietronica, modern rock, pov: indie, shiver pop",74
medium_term,Less Gravity,"lo-fi vgm, weirdcore",51
medium_term,Otis Redding,"classic soul, memphis soul, soul, soul blues, southern soul, vocal jazz",70
medium_term,Sam Fender,"modern rock, north east england indie",69
medium_term,Kacey Musgraves,"classic texas country, contemporary country, country dawn",77
medium_term,Jonas Brothers,"boy band, pop",75
medium_term,Escape the Fate,"alternative metal, metalcore, neon pop punk, pixie, pop punk, post-grunge, screamo",61
medium_term,Rascal Flatts,"contemporary country, country, country road",68
medium_term,The Lumineers,"folk-pop, modern rock, stomp and holler",78
medium_term,Creedence Clearwater Revival,"album rock, classic rock, country rock, rock, southern rock, swamp rock",80
medium_term,A Day To Remember,"alternative metal, metalcore, neon pop punk, pop punk, screamo",68
medium_term,Stephen Sanchez,gen z singer-songwriter,77
medium_term,Linkin Park,"alternative metal, nu metal, post-grunge, rap metal, rock",85
medium_term,Childish Gambino,"atl hip hop, hip hop, rap",79
medium_term,Chappell Roan,"indie pop, springfield mo indie",65
medium_term,Metro Boomin,"hip hop, rap",88
medium_term,Polaris,"australian metalcore, australian post-hardcore, melodic metalcore, metalcore",60
medium_term,Del Water Gap,"deep new americana, indie pop, pov: indie",60
medium_term,I The Mighty,"bay area indie, progressive post-hardcore",39
medium_term,Michael Jackson,"r&b, soul",82
medium_term,Of Monsters and Men,"folk-pop, metropopolis, modern rock, stomp and holler",68
medium_term,Breaking Benjamin,"alternative metal, nu metal, post-grunge",70
medium_term,Gregory Alan Isakov,"indie folk, pop folk, stomp and flutter, stomp and holler",70
medium_term,Marshmello,"brostep, edm, pop, progressive electro house",84
medium_term,NF,"hip hop, pop rap",79
medium_term,Billy Joel,"album rock, classic rock, heartland rock, mellow gold, piano rock, rock, singer-songwriter, soft rock",77
medium_term,Foo Fighters,"alternative metal, alternative rock, modern rock, permanent wave, post-grunge, rock",77
medium_term,LORDFI,lo-fi cover,28
medium_term,Jack Harlow,"deep underground hip hop, kentucky hip hop, pop rap, rap",83
medium_term,Todd Baker,video game music,37
medium_term,Charli Adams,nashville singer-songwriter,34
medium_term,Disatelier,,25
medium_term,Kings of Leon,"modern rock, rock",74
medium_term,Aerosmith,"album rock, classic rock, hard rock, rock",75
medium_term,Niall Horan,pop,76
medium_term,Boston,"album rock, classic rock, glam metal, hard rock, mellow gold, rock, soft rock",65
medium_term,Yellowcard,"alternative metal, pop punk, post-grunge, socal pop punk",62
medium_term,FIFTY FIFTY,k-pop girl group,68
medium_term,James Arthur,"pop, talent show, uk pop",81
medium_term,John Legend,"neo soul, pop, pop soul, urban contemporary",75
medium_term,Sum 41,"alternative metal, canadian pop punk, canadian punk, modern rock, pop punk, post-grunge, punk, rock",72
medium_term,Bleachers,"indie pop, indie poptimism, modern rock, pov: indie",69
medium_term,Travis Scott,"hip hop, rap, slap house",93
medium_term,Justin Bieber,"canadian pop, pop",89
medium_term,Daniel Caesar,canadian contemporary r&b,81
medium_term,Taking Back Sunday,"emo, neon pop punk, pop punk, post-hardcore, screamo",61
medium_term,Joji,viral pop,78
medium_term,Lauv,pop,76
medium_term,Sia,"australian dance, australian pop, pop",83
medium_term,Cold War Kids,"indie rock, modern alternative rock, modern rock, piano rock, stomp and holler",61
medium_term,The Black Keys,"alternative rock, blues rock, garage rock, indie rock, indietronica, modern blues rock, modern rock, punk blues, rock, roots rock",72
medium_term,Troye Sivan,"australian pop, pop, viral pop",78
medium_term,Zach Bryan,classic oklahoma country,87
medium_term,Jung Kook,k-pop,86
