Term,Artist,Song,Album,Release Date
long_term,Kendrick Lamar,DNA.,DAMN.,2017-04-14
long_term,Olivia Rodrigo,deja vu,SOUR,2021-05-21
long_term,Nightly,the movies (feat. Charli Adams),the movies (feat. Charli Adams),2020-04-24
long_term,My Chemical Romance,The End.,The Black Parade,2006-10-23
long_term,Dance Gavin Dance,We Own the Night,Instant Gratification,2015-04-14
long_term,Joshua Bassett,Crisis,Crisis / Secret / Set Me Free,2021-12-03
long_term,My Chemical Romance,Cancer,The Black Parade,2006-10-23
long_term,Catfish and the Bottlemen,Hourglass,The Balcony,2014-09-15
long_term,Nightly,hate my favorite band,hate my favorite band,2022-04-01
long_term,Young the Giant,Daydreamer,Mind Over Matter,2014-01-17
long_term,Phoebe Bridgers,Motion Sickness,Stranger in the Alps,2017-09-22
long_term,Noah Cyrus,Set For Life,The Hardest Part (Deluxe),2022-12-02
long_term,Young the Giant,Cough Syrup,Young The Giant (Special Edition),2011
long_term,John Mayer,Slow Dancing in a Burning Room,Continuum,2006-09-11
long_term,John Mayer,Why You No Love Me,Sob Rock,2021-07-16
long_term,Hozier,All Things End,Unreal Unearth,2023-08-18
long_term,Joey Landreth,Cryin',Hindsight,2019-04-19
long_term,The Weeknd,Starboy,Starboy,2016-11-25
long_term,The Weeknd,Wicked Games,Trilogy,2012-11-13
long_term,The Weeknd,The Hills,Beauty Behind The Madness,2015-08-28
long_term,My Chemical Romance,Na Na Na (Na Na Na Na Na Na Na Na Na),Danger Days: The True Lives of the Fabulous Killjoys,2010-11-05
long_term,All Time Low,Shameless,"So Wrong, It's Right",2007-09-25
long_term,John Mayer,Carry Me Away,Sob Rock,2021-07-16
long_term,Noah Cyrus,Every Beginning Ends,The Hardest Part (Deluxe),2022-12-02
long_term,Young the Giant,My Body,Young The Giant (Special Edition),2011
long_term,John Mayer,Wild Blue,Sob Rock,2021-07-16
long_term,All Time Low,Six Feet Under The Stars,"So Wrong, It's Right",2007-09-25
long_term,Harry Styles,As It Was,Harry's House,2022-05-20
long_term,Miley Cyrus,Used To Be Young,Used To Be Young,2023-08-25
long_term,SZA,Kill Bill,SOS,2022-12-08
long_term,My Chemical Romance,S/C/A/R/E/C/R/O/W,Danger Days: The True Lives of the Fabulous Killjoys,2010-11-05
long_term,Young the Giant,Amerika,Home of the Strange,2016-08-12
long_term,Noah Cyrus,I Burned LA Down - Choral Version,The Hardest Part (Deluxe),2022-12-02
long_term,Noah Cyrus,My Side of the Bed,The Hardest Part (Deluxe),2022-12-02
long_term,Cory Wong,Golden,Elevator Music for an Elevated Mood,2020-01-10
long_term,My Chemical Romance,SING,Danger Days: The True Lives of the Fabulous Killjoys,2010-11-05
long_term,Sabrina Carpenter,buy me presents,fruitcake,2023-11-17
long_term,Harry Styles,Boyfriends,Harry's House,2022-05-20
long_term,Tate McRae,we're not alike,THINK LATER,2023-12-08
long_term,Joshua Bassett,SHE SAID HE SAID SHE SAID,SHE SAID HE SAID SHE SAID,2022-10-13
long_term,Gary Clark Jr.,When I'm Gone,This Land,2019-02-22
long_term,Bazzi,I Like That,Infinite Dream,2022-09-16
long_term,Dance Gavin Dance,Young Robot,Mothership,2016-10-07
long_term,Gracie Abrams,The Bottom,This Is What It Feels Like,2021-11-12
